origin,destination,depart_date,depart_time,depart_arrival,depart_duration,return_date,return_time,return_arrival,return_duration,fare,pic,map
FMM,OMR,2018-05-12,18:35,21:15,01:40,2018-05-15,21:35,22:15,01:40,26,/assets/img/oradea.jpg,"https://www.google.de/maps/place/Oradea+International+Airport/@47.025664,21.90269,15z/data=!4m2!3m1!1s0x0:0x44f9c70c356da573?sa=X&ved=0ahUKEwjNn9foxdfaAhXHxqQKHcVhAKQQ_BIIrAEwCg"
FMM,OMR,2018-05-05,18:35,21:15,01:40,2018-05-08,21:35,22:15,01:40,44,/assets/img/oradea.jpg,"https://www.google.de/maps/place/Oradea+International+Airport/@47.025664,21.90269,15z/data=!4m2!3m1!1s0x0:0x44f9c70c356da573?sa=X&ved=0ahUKEwjNn9foxdfaAhXHxqQKHcVhAKQQ_BIIrAEwCg"
MUC,DUB,2018-05-12,21:10,22:40,02:30,2018-05-15,17:10,20:35,02:25,48,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
MUC,DUB,2018-05-05,21:10,22:40,02:30,2018-05-08,17:10,20:35,02:25,52,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
MUC,DUB,2018-05-04,21:10,22:40,02:30,2018-05-07,16:55,20:20,02:25,58,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
MUC,DUB,2018-05-04,21:10,22:40,02:30,2018-05-07,16:55,20:20,02:25,58,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
FMM,ATH,2018-05-12,18:10,21:45,02:35,2018-05-15,16:10,17:45,02:35,63,/assets/img/athens.jpg,"https://www.google.de/maps/place/Athens+International+Airport/@37.9356467,23.9484156,15z/data=!4m2!3m1!1s0x0:0x38b215df0aeeb3aa?sa=X&ved=0ahUKEwigvd6UrdbaAhXMyaYKHcW6CwgQ_BIIwAEwCg"
FMM,FAO,2018-05-05,18:55,21:00,03:05,2018-05-08,14:30,18:30,03:00,65,/assets/img/faro.jpg,"https://www.google.de/maps/place/Faro+Airport/@37.0175956,-7.96972,15z/data=!4m2!3m1!1s0x0:0x2144551e63673b47?sa=X&ved=0ahUKEwim9pnn3NfaAhWphqYKHebCAOEQ_BIItwEwCg"
FMM,NYO,2018-05-05,06:30,08:40,02:10,2018-05-08,14:25,16:35,02:10,70,/assets/img/stockholm.jpg,"https://www.google.de/maps/place/Stockholm+Skavsta+Airport/@58.7890201,16.9153649,15z/data=!4m2!3m1!1s0x0:0x6e00ef3da8e5f24a?sa=X&ved=0ahUKEwi9nITA4NfaAhWBjiwKHcHpBPIQ_BII6gEwEQ"
MUC,DUB,2018-06-08,21:10,22:40,02:30,2018-06-11,16:55,20:20,02:25,75,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
MUC,DUB,2018-05-11,21:10,22:40,02:30,2018-05-14,16:55,20:20,02:25,80,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
MUC,DUB,2018-05-11,21:10,22:40,02:30,2018-05-14,16:55,20:20,02:25,80,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
FMM,DUB,2018-06-15,19:05,20:30,02:25,2018-06-18,13:10,16:30,02:20,94,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
MUC,DUB,2018-06-22,21:10,22:40,02:30,2018-06-25,16:55,20:20,02:25,94,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
FMM,AGP,2018-06-22,20:50,23:45,02:55,2018-06-25,17:25,20:10,02:45,95,/assets/img/malaga.jpg,"https://www.google.de/maps/place/Malaga+airport+-+Costa+del+Sol/@36.6794172,-4.4950028,15z/data=!4m2!3m1!1s0x0:0x57b5ad2f47de3e9a?sa=X&ved=0ahUKEwien_bExdfaAhVlM5oKHa2FB94Q_BII-gEwEw"
FMM,DUB,2018-07-13,19:05,20:30,02:25,2018-07-16,13:10,16:30,02:20,95,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
